rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_ich*","Präsens_du","Präsens_du*","Präsens_er, sie, es","Präteritum_ich","Präteritum_ich*","Partizip II","Partizip II*","Konjunktiv II_ich","Konjunktiv II_ich*","Imperativ Singular","Imperativ Singular*","Imperativ Singular 2","Imperativ Plural","Imperativ Plural*",Hilfsverb,Hilfsverb*,Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
3459,1441,durchdrehen,"","","drehe durch","","drehst durch","","dreht durch","drehte durch","",durchgedreht,"","drehte durch","","dreh durch","drehe durch","","dreht durch","",sein,haben,"","","","",""
3468,1436,investieren,"","",investiere,"",investierst,"",investiert,investierte,"",investiert,"",investierte,"",investiere,investier,"",investiert,"",haben,"","","","","",""
3476,1434,"zerreißen","","","zerreiße","","zerreißt","","zerreißt",zerriss,"",zerrissen,"",zerrisse,"","zerreiß","zerreiße","","zerreißt","",haben,"","","","","",""
3481,1432,antreten,X,"","trete an","","trittst an","","tritt an","trat an","",angetreten,"","träte an","","tritt an","","","tretet an","",haben,sein,"","Anfang.svg|mini|1| Hier wird die Fahrt ''angetreten''","Indian_and_U.S._Army_personnel_salute_during_the_closing_ceremony_of_Yudh_Abhyas_2009.jpg|mini|4| ''Angetreten''","Piaggio_Vespa_LX125_2006_Engine.JPG|mini|6| Anlassen durch ''Antreten'' angesagt",""
3494,1423,"zünden","","","zünde","","zündest","","zündet","zündete","","gezündet","","zündete","","zünd","zünde","","zündet","",haben,"","","","","",""
3496,1422,umgeben,"","","gebe um","","gibst um","","gibt um","gab um","",umgegeben,"","gäbe um","","gib um","","","gebt um","",haben,"","","","","",""
3496,1422,umgeben,"","",umgebe,"",umgibst,"",umgibt,umgab,"",umgeben,"","umgäbe","",umgib,"","",umgebt,"",haben,"","","","","",""
3499,1420,hexen,"","",hexe,"",hext,"",hext,hexte,"",gehext,"",hexte,"",hex,hexe,"",hext,"",haben,"","","","","",""
3515,1413,reinigen,"","",reinige,"",reinigst,"",reinigt,reinigte,"",gereinigt,"",reinigte,"",reinig,reinige,"",reinigt,"",haben,"","","","","",""
3516,1411,verklagen,"","",verklage,"",verklagst,"",verklagt,verklagte,"",verklagt,"",verklagte,"",verklag,verklage,"",verklagt,"",haben,"","","","","",""
3517,1411,teilnehmen,"","","nehme teil","","nimmst teil","","nimmt teil","nahm teil","",teilgenommen,"","nähme teil","","nimm teil","","","nehmt teil","",haben,"","","","","",""
3523,1407,erleiden,"","",erleide,"",erleidest,"",erleidet,erlitt,"",erlitten,"",erlitte,"",erleide,"","",erleidet,"",haben,"","","","","",""
3527,1406,kichern,"","",kichere,"",kicherst,"",kichert,kicherte,"",gekichert,"",kicherte,"",kichere,"","",kichert,"",haben,"","Giggling.ogg|mini|1|Ein [[Mädchen]] ''kichert.''","","","",""
3535,1402,herziehen,"","","ziehe her","","ziehst her","","zieht her","zog her","",hergezogen,"","zöge her","","ziehe her","","","zieht her","ziehet her",sein,haben,"","","","",""
3537,1402,narren,"","",narre,"",narrst,"",narrt,narrte,"",genarrt,"",narrte,"",narr,narre,"",narrt,"",haben,"","","","","",""
3541,1400,"aufhängen","","","hänge auf","","hängst auf","","hängt auf","hängte auf","","aufgehängt","","hängte auf","","häng auf","hänge auf","","hängt auf","",haben,"","","","","",""
3549,1398,schleppen,"","",schleppe,"",schleppst,"",schleppt,schleppte,"",geschleppt,"",schleppte,"",schleppe,schlepp,"",schleppt,"",haben,"","Lijiang Yunnan China-Naxi-people-carrying-baskets-01.jpg|thumb|1|[[Frau]]en ''schleppen'' in einer [[Vorstellung]] die [[ortstypisch]]en [[Korb|Körbe]]","","","",""
3551,1397,regieren,"","",regiere,"",regierst,"",regiert,regierte,"",regiert,"",regierte,"",regiere,regier,"",regiert,"",haben,"","","","","",""
3552,1397,darstellen,"","","stelle dar","","stellst dar","","stellt dar","stellte dar","",dargestellt,"","stellte dar","","stell dar","stelle dar","","stellt dar","",haben,"","","","","",""
3572,1387,hindern,"","",hindere,"",hinderst,"",hindert,hinderte,"",gehindert,"",hinderte,"",hindere,hinder,"",hindert,"",haben,"","","","","",""
3576,1384,keuchen,"","",keuche,"",keuchst,"",keucht,keuchte,"",gekeucht,"",keuchte,"",keuche,"","",keucht,"",haben,"","","","","",""
