rank,freq,Infinitiv,Unreg,Trans,"Präsens_ich","Präsens_du","Präsens_er, sie, es","Präteritum_ich","Partizip II","Konjunktiv II_ich","Imperativ Singular","Imperativ Plural",Hilfsverb
360,24252,bestimmen,"","",bestimme,bestimmst,bestimmt,bestimmte,bestimmt,bestimmte,bestimme,bestimmt,haben
366,23724,langen,"","",lange,langst,langt,langte,gelangt,langte,lange,langt,haben
367,23694,umbringen,"","","bringe um","bringst um","bringt um","brachte um",umgebracht,"brächte um","bring um","bringt um",haben
369,23432,tollen,"","",tolle,tollst,tollt,tollte,getollt,tollte,toll,tollt,haben
373,23236,fangen,"","",fange,"fängst","fängt",fing,gefangen,finge,fang,fangt,haben
383,22577,kaufen,"",X,kaufe,kaufst,kauft,kaufte,gekauft,kaufte,kauf,kauft,haben
385,22415,wagen,"","",wage,wagst,wagt,wagte,gewagt,wagte,wage,wagt,haben
389,22027,altern,"","",altere,alterst,altert,alterte,gealtert,alterte,altere,altert,sein
395,21815,erwarten,"","",erwarte,erwartest,erwartet,erwartete,erwartet,erwartete,erwarte,erwartet,haben
397,21634,folgen,"","",folge,folgst,folgt,folgte,gefolgt,folgte,folge,folgt,sein
398,21606,schauen,"","",schaue,schaust,schaut,schaute,geschaut,schaute,schaue,schaut,haben
400,21507,heiraten,"","",heirate,heiratest,heiratet,heiratete,geheiratet,heiratete,heirate,heiratet,haben
404,21292,lachen,"","",lache,lachst,lacht,lachte,gelacht,lachte,lache,lacht,haben
406,21153,schlagen,"",X,schlage,"schlägst","schlägt",schlug,geschlagen,"schlüge",schlag,schlagt,haben
407,21086,gefallen,"","",gefalle,"gefällst","gefällt",gefiel,gefallen,gefiele,gefalle,gefallt,haben
411,20824,bezahlen,"","",bezahle,bezahlst,bezahlt,bezahlte,bezahlt,bezahlte,bezahle,bezahlt,haben
413,20656,stecken,"","",stecke,steckst,steckt,steckte,gesteckt,steckte,steck,steckt,haben
414,20645,gewinnen,"","",gewinne,gewinnst,gewinnt,gewann,gewonnen,"gewönne",gewinn,gewinnt,haben
418,20421,"lügen","","","lüge","lügst","lügt",log,gelogen,"löge","lüg","lügt",haben
420,20386,klingen,"","",klinge,klingst,klingt,klang,geklungen,"klänge",klinge,klingt,haben
421,20284,vertrauen,"","",vertraue,vertraust,vertraut,vertraute,vertraut,vertraute,vertrau,vertraut,haben
433,19730,"ändern","","","ändere","änderst","ändert","änderte","geändert","änderte","ändere","ändert",haben
438,19475,benutzen,"","",benutze,benutzt,benutzt,benutzte,benutzt,benutzte,benutze,benutzt,haben
439,19398,schicken,"","",schicke,schickst,schickt,schickte,geschickt,schickte,schick,schickt,haben
446,19077,"erklären","","","erkläre","erklärst","erklärt","erklärte","erklärt","erklärte","erkläre","erklärt",haben
447,19038,legen,"","",lege,legst,legt,legte,gelegt,legte,lege,legt,haben
451,18800,wiedersehen,"","","sehe wieder","siehst wieder","sieht wieder","sah wieder",wiedergesehen,"sähe wieder","sieh wieder","seht wieder",haben
452,18732,"aufhören","","","höre auf","hörst auf","hört auf","hörte auf","aufgehört","hörte auf","hör auf","hört auf",haben
453,18714,anfangen,"",X,"fange an","fängst an","fängt an","fing an",angefangen,"finge an","fang an","fangt an",haben
459,18226,beginnen,"","",beginne,beginnst,beginnt,begann,begonnen,"begönne",beginn,beginnt,haben
461,18187,verdienen,"","",verdiene,verdienst,verdient,verdiente,verdient,verdiente,verdiene,verdient,haben
462,18180,freuen,"",X,freue,freust,freut,freute,gefreut,freute,freu,freut,haben
464,18153,wohnen,"","",wohne,wohnst,wohnt,wohnte,gewohnt,wohnte,wohne,wohnt,haben
473,17796,fliegen,X,"",fliege,fliegst,fliegt,flog,geflogen,"flöge",flieg,fliegt,sein
477,17565,geschehen,"","","","",geschieht,geschah,geschehen,"geschähe","","",sein
478,17508,gedenken,"","",gedenke,gedenkst,gedenkt,gedachte,gedacht,"gedächte",gedenk,gedenkt,haben
480,17438,funktionieren,"","",funktioniere,funktionierst,funktioniert,funktionierte,funktioniert,funktionierte,funktioniere,funktioniert,haben
485,17146,verkaufen,"","",verkaufe,verkaufst,verkauft,verkaufte,verkauft,verkaufte,verkauf,verkauft,haben
490,16842,"schießen","","","schieße","schießt","schießt",schoss,geschossen,"schösse","schieß","schießt",haben
491,16810,dauern,"","",dauere,dauerst,dauert,dauerte,gedauert,dauerte,dauere,dauert,haben
492,16800,"kämpfen","","","kämpfe","kämpfst","kämpft","kämpfte","gekämpft","kämpfte","kämpf","kämpft",haben
495,16674,"wünschen","","","wünsche","wünschst","wünscht","wünschte","gewünscht","wünschte","wünsche","wünscht",haben
497,16639,werfen,"","",werfe,wirfst,wirft,warf,geworfen,"würfe",wirf,werft,haben
507,16022,aussehen,"","","sehe aus","siehst aus","sieht aus","sah aus",ausgesehen,"sähe aus","sieh aus","seht aus",haben
511,15933,"führen","","","führe","führst","führt","führte","geführt","führte","führe","führt",haben
513,15874,"öffnen","","","öffne","öffnest","öffnet","öffnete","geöffnet","öffnete","öffne","öffnet",haben
516,15571,interessieren,"","",interessiere,interessierst,interessiert,interessierte,interessiert,interessierte,interessiere,interessiert,haben
525,15314,brechen,"","",breche,brichst,bricht,brach,gebrochen,"bräche",brich,brecht,haben
526,15263,verletzen,"","",verletze,verletzt,verletzt,verletzte,verletzt,verletzte,verletze,verletzt,haben
530,15200,bitten,"","",bitte,bittest,bittet,bat,gebeten,"bäte",bitte,bittet,haben
532,15081,verstecken,"","",verstecke,versteckst,versteckt,versteckte,versteckt,versteckte,verstecke,versteckt,haben
534,14941,erledigen,"","",erledige,erledigst,erledigt,erledigte,erledigt,erledigte,erledig,erledigt,haben
538,14747,sondern,"","",sondere,sonderst,sondert,sonderte,gesondert,sonderte,sondere,sondert,haben
543,14573,erfahren,"","",erfahre,"erfährst","erfährt",erfuhr,erfahren,"erführe",erfahr,erfahrt,haben
544,14572,vorstellen,"","","stelle vor","stellst vor","stellt vor","stellte vor",vorgestellt,"stellte vor","stell vor","stellt vor",haben
545,14522,singen,"","",singe,singst,singt,sang,gesungen,"sänge",singe,singt,haben
548,14356,klappen,"","",klappe,klappst,klappt,klappte,geklappt,klappte,klappe,klappt,haben
550,14299,entscheiden,"","",entscheide,entscheidest,entscheidet,entschied,entschieden,entschiede,entscheide,entscheidet,haben
553,14181,stehlen,"","",stehle,stiehlst,stiehlt,stahl,gestohlen,"stähle",stiehl,stehlt,haben
557,13960,zahlen,"","",zahle,zahlst,zahlt,zahlte,gezahlt,zahlte,zahle,zahlt,haben
564,13591,"schließen","","","schließe","schließt","schließt",schloss,geschlossen,"schlösse","schließe","schließt",haben
571,13378,bewegen,"","",bewege,bewegst,bewegt,bewegte,bewegt,bewegte,bewege,bewegt,haben
571,13378,bewegen,"","",bewege,bewegst,bewegt,bewog,bewogen,"bewöge",bewege,bewegt,haben
572,13365,"zerstören","","","zerstöre","zerstörst","zerstört","zerstörte","zerstört","zerstörte","zerstöre","zerstört",haben
573,13318,ehren,"","",ehre,ehrst,ehrt,ehrte,geehrt,ehrte,ehre,ehrt,haben
574,13220,ansehen,"","","sehe an","siehst an","sieht an","sah an",angesehen,"sähe an","sieh an","seht an",haben
576,13183,behalten,"","",behalte,"behältst","behält",behielt,behalten,behielte,behalte,behaltet,haben
578,13175,besorgen,"","",besorge,besorgst,besorgt,besorgte,besorgt,besorgte,besorge,besorgt,haben
579,13137,erkennen,"","",erkenne,erkennst,erkennt,erkannte,erkannt,erkennte,erkenn,erkennt,haben
585,12749,"hängen","","","hänge","hängst","hängt","hängte","gehängt","hängte","hänge","hängt",haben
585,12749,"hängen","","","hänge","hängst","hängt",hing,gehangen,hinge,"hänge","hängt",haben
588,12726,fehlen,"","",fehle,fehlst,fehlt,fehlte,gefehlt,fehlte,fehle,fehlt,haben
