rank,freq,Nominativ,Genus,"Nominativ Singular","Nominativ Plural","Genitiv Singular","Genitiv Plural","Dativ Singular","Dativ Plural","Akkusativ Singular","Akkusativ Plural",Bild,"Bild 1","Bild 2","Bild 3","Bild 4"
8851,393,Definition,f,Definition,Definitionen,Definition,Definitionen,Definition,Definitionen,Definition,Definitionen,"","","","",""
8854,393,Smoking,m,Smoking,Smokings,Smokings,Smokings,Smoking,Smokings,Smoking,Smokings,"Herrar i smoking.jpg|mini|1|zwei Herren im ''Smoking''","","","",""
8858,393,Unsterblichkeit,f,Unsterblichkeit,"",Unsterblichkeit,"",Unsterblichkeit,"",Unsterblichkeit,"","","","","",""
8859,393,Gehorsam,m,Gehorsam,"",Gehorsams,"",Gehorsam,"",Gehorsam,"","","","","",""
8861,393,Feiertag,m,Feiertag,Feiertage,Feiertages,Feiertage,Feiertag,Feiertagen,Feiertag,Feiertage,"","","","",""
8863,392,Apokalypse,f,Apokalypse,Apokalypsen,Apokalypse,Apokalypsen,Apokalypse,Apokalypsen,Apokalypse,Apokalypsen,"","","","",""
8864,392,Bremse,f,Bremse,Bremsen,Bremse,Bremsen,Bremse,Bremsen,Bremse,Bremsen,"","Klotzbremse_an_kutsche_mit_neuem_bremsklotz.jpg|220px|1|altertümliche ''Bremse'' an einer Kutsche","Shimano_Deore_XT_II_brakes.jpg|220|1|''Bremse'' am Hinterrad eines Fahrrads","Wikimust02.jpg|220px|1|''Bremse'' an einem Kraftfahrzeug",""
8864,392,Bremse,f,Bremse,Bremsen,Bremse,Bremsen,Bremse,Bremsen,Bremse,Bremsen,"","ComputerHotline_-_Chrysops_relictus_(by)_(1).jpg|220px|1|''Bremse'' (''Chrysops relictus'')","Tabanus.bovinus.male.jpg|220px|1|''Bremse'' (''Tabanus bovinus'')","Thomas_Shahan_-_Tabanus_lineola_(by).jpg|220px|1|Nahaufnahme der buntschillernden Augen einer ''Bremse'' (''Tabanus lineola'')",""
8867,392,Anomalie,f,Anomalie,Anomalien,Anomalie,Anomalien,Anomalie,Anomalien,Anomalie,Anomalien,"","","","",""
8870,392,Kahn,m,Kahn,"Kähne",Kahnes,"Kähne",Kahn,"Kähnen",Kahn,"Kähne","Spreekahn.jpg|220px|1|''Kahn''","","","",""
8873,392,"Schöpfung",f,"Schöpfung","Schöpfungen","Schöpfung","Schöpfungen","Schöpfung","Schöpfungen","Schöpfung","Schöpfungen","Narthex Markusdom Schöpfung.JPG|180px|1|Mosaik &quot;Die Schöpfung&quot; in der Vorhalle des  [[w:Markusdom#Der Innenraum|Markusdomes]]","","","",""
8874,392,"Außenseiter",m,"Außenseiter","Außenseiter","Außenseiters","Außenseiter","Außenseiter","Außenseitern","Außenseiter","Außenseiter","","","","",""
8876,392,Won,m,Won,Won,Won,Won,Won,Won,Won,Won,"","","","",""
8877,392,Manuskript,n,Manuskript,Manuskripte,Manuskripts,Manuskripte,Manuskript,Manuskripten,Manuskript,Manuskripte,"","","","",""
8878,391,Abdruck,m,Abdruck,"Abdrücke",Abdrucks,"Abdrücke",Abdruck,"Abdrücken",Abdruck,"Abdrücke","","","","",""
8885,391,Kick,m,Kick,Kicks,Kick,Kicks,Kick,Kicks,Kick,Kicks,"","","","",""
8889,391,Polizeirevier,n,Polizeirevier,Polizeireviere,Polizeireviers,Polizeireviere,Polizeirevier,Polizeirevieren,Polizeirevier,Polizeireviere,"","","","",""
8894,390,Rezeption,f,Rezeption,Rezeptionen,Rezeption,Rezeptionen,Rezeption,Rezeptionen,Rezeption,Rezeptionen,"","","","",""
8895,390,Sushi,n,Sushi,Sushis,Sushis,Sushis,Sushi,Sushis,Sushi,Sushis,"Sushi_bento.jpg|210px|1|Eine ''Sushi''-Box","","","",""
8896,390,Besetzung,f,Besetzung,Besetzungen,Besetzung,Besetzungen,Besetzung,Besetzungen,Besetzung,Besetzungen,"","","","",""
8900,390,Unterbrechung,f,Unterbrechung,Unterbrechungen,Unterbrechung,Unterbrechungen,Unterbrechung,Unterbrechungen,Unterbrechung,Unterbrechungen,"PC Audio Cable and Video-Audio Cable Connection.JPG|mini|1|''Unterbrechung'' einer Stromverbindung","","","",""
8902,390,List,f,List,Listen,List,Listen,List,Listen,List,Listen,"","","","",""
8907,390,Mittelpunkt,m,Mittelpunkt,Mittelpunkte,Mittelpunktes,Mittelpunkte,Mittelpunkt,Mittelpunkten,Mittelpunkt,Mittelpunkte,"Circle_and_its_center.svg|240px|1|der ''Mittelpunkt'' eines Kreises","","","",""
8908,390,Mail,fn,Mail,Mails,"",Mails,Mail,Mails,Mail,Mails,"","","","",""
8909,390,Wechselgeld,n,Wechselgeld,Wechselgelder,Wechselgeldes,Wechselgelder,Wechselgeld,Wechselgeldern,Wechselgeld,Wechselgelder,"","","","",""
8912,389,Schweinehund,m,Schweinehund,Schweinehunde,Schweinehundes,Schweinehunde,Schweinehund,Schweinehunden,Schweinehund,Schweinehunde,"","","","",""
8921,389,Blondine,f,Blondine,Blondinen,Blondine,Blondinen,Blondine,Blondinen,Blondine,Blondinen,"","","","",""
8925,389,Besorgnis,f,Besorgnis,Besorgnisse,Besorgnis,Besorgnisse,Besorgnis,Besorgnissen,Besorgnis,Besorgnisse,"","","","",""
8927,389,Schreibmaschine,f,Schreibmaschine,Schreibmaschinen,Schreibmaschine,Schreibmaschinen,Schreibmaschine,Schreibmaschinen,Schreibmaschine,Schreibmaschinen,"Olivetti Lettera 22 by LjL.jpeg|250px|1|eine italienische '''Schreibmaschine'''","","","",""
8928,389,"Fußboden",m,"Fußboden","Fußböden","Fußbodens","Fußböden","Fußboden","Fußböden","Fußboden","Fußböden","","","","",""
8930,388,Spitzname,m,Spitzname,Spitznamen,Spitznamens,Spitznamen,Spitznamen,Spitznamen,Spitznamen,Spitznamen,"","","","",""
8931,388,Lappen,m,Lappen,Lappen,Lappens,Lappen,Lappen,Lappen,Lappen,Lappen,"Fotothek df roe-neg 0006146 040 Junge wäscht sich sein Gesicht mit einem Waschla.jpg|thumb|1| er wäscht sich sein Gesicht mit einem ''Lappen''","","","",""
8932,388,Gorilla,m,Gorilla,Gorillas,Gorillas,Gorillas,Gorilla,Gorillas,Gorilla,Gorillas,"","Male silverback Gorilla.JPG|miniatur|1|ein männlicher ''Gorilla''","Gorilla gorilla gorilla3.ogg|miniatur|1|''Gorilla'' beim [[Essen]]","",""
8936,388,Hellseher,m,Hellseher,Hellseher,Hellsehers,Hellseher,Hellseher,Hellsehern,Hellseher,Hellseher,"","","","",""
8937,388,Verlauf,m,Verlauf,"Verläufe",Verlaufs,"Verläufe",Verlauf,"Verläufen",Verlauf,"Verläufe","","","","",""
8939,388,"Verzögerung",f,"Verzögerung","Verzögerungen","Verzögerung","Verzögerungen","Verzögerung","Verzögerungen","Verzögerung","Verzögerungen","","","","",""
8940,388,Portal,n,Portal,Portale,Portals,Portale,Portal,Portalen,Portal,Portale,"Abrud_St._Nicholas_Church_South_Portal.jpg|mini|1|''Portal'' der St.-Nikolai-Kirche in Abrud (13. Jahrhundert)","","","",""
8943,387,Korridor,m,Korridor,Korridore,Korridores,Korridore,Korridor,Korridoren,Korridor,Korridore,"Terrasshuset Sköndal korridor.jpg|thumb|1|ein langer ''Korridor''","","","",""
8944,387,Zweier,m,Zweier,Zweier,Zweiers,Zweier,Zweier,Zweiern,Zweier,Zweier,"","","","",""
8947,387,Wisch,m,Wisch,Wische,Wischs,Wische,Wisch,Wischen,Wisch,Wische,"","","","",""
8948,387,Parlament,n,Parlament,Parlamente,Parlaments,Parlamente,Parlament,Parlamenten,Parlament,Parlamente,"2007 07 16 parlament europejski bruksela 26 CROPPED.JPG|mini|1|Saal eines ''Parlaments''","","","",""
8954,387,Abgang,m,Abgang,"Abgänge",Abgangs,"Abgänge",Abgang,"Abgängen",Abgang,"Abgänge","","","","",""
8959,386,Aufsatz,m,Aufsatz,"Aufsätze",Aufsatzes,"Aufsätze",Aufsatz,"Aufsätzen",Aufsatz,"Aufsätze","","","","",""
8964,386,Michigan,n,Michigan,"",Michigans,"",Michigan,"",Michigan,"","Map of USA MI.svg|200px|1|geografische Lage des US-Bundesstaates ''Michigan''","","","",""
8971,386,Gunst,f,Gunst,"",Gunst,"",Gunst,"",Gunst,"","","","","",""
8973,386,Dekan,m,Dekan,Dekane,Dekans,Dekane,Dekan,Dekanen,Dekan,Dekane,"","","","",""
8974,386,Psychiatrie,f,Psychiatrie,Psychiatrien,Psychiatrie,Psychiatrien,Psychiatrie,Psychiatrien,Psychiatrie,Psychiatrien,"","","","",""
8975,385,Oxford,n,Oxford,Oxfords,Oxfords,Oxfords,Oxford,Oxfords,Oxford,Oxfords,"","","","",""
8975,385,Oxford,n,Oxford,"",Oxfords,"",Oxford,"",Oxford,"","","","","",""
8977,385,Aufseher,m,Aufseher,Aufseher,Aufsehers,Aufseher,Aufseher,Aufsehern,Aufseher,Aufseher,"","","","",""
8980,385,Stadium,n,Stadium,Stadien,Stadiums,Stadien,Stadium,Stadien,Stadium,Stadien,"","","","",""
8987,385,Falke,m,Falke,Falken,Falken,Falken,Falken,Falken,Falken,Falken,"Common kestrel falco tinnunculus.jpg|mini|1|Turmfalke (''Falco tinnunculus'')","","","",""
8994,384,Ski,m,Ski,Ski,Skis,Ski,Ski,Ski,Ski,Ski,"Ski.jpg|50px|1|Ein ''Ski''","","","",""
9004,383,Schilling,m,Schilling,Schilling,Schillings,Schilling,Schilling,Schilling,Schilling,Schilling,Schill1.jpg|200px|2|Schilling,"","","",""
9005,383,Nachtschicht,f,Nachtschicht,Nachtschichten,Nachtschicht,Nachtschichten,Nachtschicht,Nachtschichten,Nachtschicht,Nachtschichten,"","","","",""
9008,383,Adoption,f,Adoption,Adoptionen,Adoption,Adoptionen,Adoption,Adoptionen,Adoption,Adoptionen,"","","","",""
9009,383,Ast,m,Ast,"Äste",Astes,"Äste",Ast,"Ästen",Ast,"Äste","","","","",""
9012,383,Schweinchen,n,Schweinchen,Schweinchen,Schweinchens,Schweinchen,Schweinchen,Schweinchen,Schweinchen,Schweinchen,"More piglets.jpg|180px|1|Drei ''Schweinchen''","","","",""
9015,383,Chirurgie,f,Chirurgie,Chirurgien,Chirurgie,Chirurgien,Chirurgie,Chirurgien,Chirurgie,Chirurgien,"","","","",""
9016,383,Vorrat,m,Vorrat,"Vorräte",Vorrats,"Vorräte",Vorrat,"Vorräten",Vorrat,"Vorräte","","","","",""
9017,383,Puff,m,Puff,Puffe,Puffs,Puffe,Puff,Puffen,Puff,Puffe,"","","","",""
9017,383,Puff,m,Puff,Puffs,Puffs,Puffs,Puff,Puffs,Puff,Puffs,"","","","",""
9017,383,Puff,mn,Puff,Puffs,"",Puffs,Puff,Puffs,Puff,Puffs,"","","","",""
9017,383,Puff,n,Puff,"",Puffes,"",Puff,"",Puff,"","","","","",""
9017,383,Puff,m,Puff,Puffe,Puffs,Puffe,Puff,Puffen,Puff,Puffe,"","","","",""
9019,382,Gewissheit,f,Gewissheit,Gewissheiten,Gewissheit,Gewissheiten,Gewissheit,Gewissheiten,Gewissheit,Gewissheiten,"","","","",""
9020,382,Exil,n,Exil,Exile,Exils,Exile,Exil,Exilen,Exil,Exile,"","","","",""
9021,382,Besessenheit,f,Besessenheit,"",Besessenheit,"",Besessenheit,"",Besessenheit,"","","","","",""
9030,382,Notizbuch,n,Notizbuch,"Notizbücher",Notizbuches,"Notizbücher",Notizbuch,"Notizbüchern",Notizbuch,"Notizbücher","Moleskine ruled notebook, inside view.jpg|240px|1|leere Seiten eines Notizbuches","","","",""
9032,382,Bosse,f,Bosse,Bossen,Bosse,Bossen,Bosse,Bossen,Bosse,Bossen,"","","","",""
9033,382,Ablauf,m,Ablauf,"Abläufe",Ablaufs,"Abläufe",Ablauf,"Abläufen",Ablauf,"Abläufe","","","","",""
9034,382,Absatz,m,Absatz,"Absätze",Absatzes,"Absätze",Absatz,"Absätzen",Absatz,"Absätze","","Lorem ipsum flush left.svg|mini|2|Dieser [[Text]] hat [[drei]] ''Absätze.''","Platform court shoes-Calderone-open toes-cream.jpg|mini|3|''Absatz'' an einem [[Damenschuh]]","",""
9037,382,Cape,n,Cape,Capes,Capes,Capes,Cape,Capes,Cape,Capes,"Pelerine1911.jpg|mini|1|ein älteres Modell eines ''Capes''","","","",""
9039,382,Strick,m,Strick,Stricke,Strickes,Stricke,Strick,Stricken,Strick,Stricke,"","","","",""
9042,381,Walzer,m,Walzer,Walzer,Walzers,Walzer,Walzer,Walzern,Walzer,Walzer,"","","","",""
9044,381,Rechenschaft,f,Rechenschaft,"",Rechenschaft,"",Rechenschaft,"",Rechenschaft,"","","","","",""
9047,381,Rebellion,f,Rebellion,Rebellionen,Rebellion,Rebellionen,Rebellion,Rebellionen,Rebellion,Rebellionen,"","","","",""
9053,381,Treppenhaus,n,Treppenhaus,"Treppenhäuser",Treppenhauses,"Treppenhäuser",Treppenhaus,"Treppenhäusern",Treppenhaus,"Treppenhäuser","","Stairs in Madrid (Spain) 02.jpg|220px|1|Ein Blick von oben in ein ''Treppenhaus''","Escalier.romain.png|220px|1|Grundriss und Schnitt eines ''Treppenhauses''","",""
9055,381,Rausch,m,Rausch,"Räusche",Rausches,"Räusche",Rausch,"Räuschen",Rausch,"Räusche","","","","",""
9059,380,Mikrofon,n,Mikrofon,Mikrofone,Mikrofons,Mikrofone,Mikrofon,Mikrofonen,Mikrofon,Mikrofone,"","Philips_SBC_MD_110.jpg|thumb|1|''Mikrofon'' mit Kabel","Sarah Vaughan - William P. Gottlieb - No. 1.jpg|thumb|1|[[w:Sarah Vaughn|Sarah Vaughn]] [[singen|singt]] in ein ''Mikrofon''","",""
9063,380,Vormittag,m,Vormittag,Vormittage,Vormittags,Vormittage,Vormittag,Vormittagen,Vormittag,Vormittage,"","","","",""
9066,380,Warner,m,Warner,Warner,Warners,Warner,Warner,Warnern,Warner,Warner,"","","","",""
9067,380,Urin,m,Urin,Urine,Urins,Urine,Urin,Urinen,Urin,Urine,"Urine sample.JPG|mini|1|''Urin'' in einem Plastikgefäß ([[Urinprobe]])","","","",""
9068,380,Flugplatz,m,Flugplatz,"Flugplätze",Flugplatzes,"Flugplätze",Flugplatz,"Flugplätzen",Flugplatz,"Flugplätze","Flugplatz.JPG|300px|2|''Flugplatz'' Günterode-Heiligenstadt aus der Luft","","","",""
9074,380,Hang,m,Hang,"Hänge",Hangs,"Hänge",Hang,"Hängen",Hang,"Hänge","Unterbäch Hang.jpg|250px|1|''Hang'' vor Bergen","","","",""
9086,379,Verehrer,m,Verehrer,Verehrer,Verehrers,Verehrer,Verehrer,Verehrern,Verehrer,Verehrer,"","","","",""
9088,379,Verwalter,m,Verwalter,Verwalter,Verwalters,Verwalter,Verwalter,Verwaltern,Verwalter,Verwalter,"","","","",""
9089,379,Telefonzelle,f,Telefonzelle,Telefonzellen,Telefonzelle,Telefonzellen,Telefonzelle,Telefonzellen,Telefonzelle,Telefonzellen,"Mh Telefonzelle gelb.jpeg|230px|1|eine alte deutsche '''Telefonzelle'''","","","",""
9090,379,Scheinwerfer,m,Scheinwerfer,Scheinwerfer,Scheinwerfers,Scheinwerfer,Scheinwerfer,Scheinwerfern,Scheinwerfer,Scheinwerfer,"","Par30.jpg|mini|1|''Scheinwerfer''","Fiesta-Scheinwerfer MK7 front.JPG|mini|2|Auto''scheinwerfer''","",""
9091,379,Steuerung,f,Steuerung,Steuerungen,Steuerung,Steuerungen,Steuerung,Steuerungen,Steuerung,Steuerungen,"","","","",""
9093,379,Gebrauch,m,Gebrauch,"Gebräuche",Gebrauchs,"Gebräuche",Gebrauch,"Gebräuchen",Gebrauch,"Gebräuche","","","","",""
9094,379,Image,n,Image,Images,Image,Images,Image,Images,Image,Images,"","","","",""
9095,379,"Zünder",m,"Zünder","Zünder","Zünders","Zünder","Zünder","Zündern","Zünder","Zünder","","","","",""
9097,378,Joker,m,Joker,Joker,Jokers,Joker,Joker,Jokern,Joker,Joker,"Joker red 02.svg|150px|1|ein Joker","","","",""
9103,378,Metapher,f,Metapher,Metaphern,Metapher,Metaphern,Metapher,Metaphern,Metapher,Metaphern,"","","","",""
9112,378,Knoblauch,m,Knoblauch,"",Knoblauchs,"",Knoblauch,"",Knoblauch,"","","Garlic chives.jpg|210px|1|''Knoblauch''pflanzen","Garlic.jpg|210px|2|''Knoblauch''knolle und herausgelöste ''Knoblauch''zehen","",""
9114,377,Wirbel,m,Wirbel,Wirbel,Wirbels,Wirbel,Wirbel,Wirbeln,Wirbel,Wirbel,"","","","",""
9116,377,Eingeweide,n,Eingeweide,Eingeweide,Eingeweides,Eingeweide,Eingeweide,Eingeweiden,Eingeweide,Eingeweide,"Crucian carp-bowels prPNr°27.jpg|220px|1|die ''Eingeweide'' einer [[w:Karausche|Karausche]]","","","",""
9127,377,Schauspiel,n,Schauspiel,Schauspiele,Schauspiels,Schauspiele,Schauspiel,Schauspielen,Schauspiel,Schauspiele,"","","","",""
9129,377,Serum,n,Serum,Seren,Serums,Seren,Serum,Seren,Serum,Seren,"","","","",""
9130,377,Putzfrau,f,Putzfrau,Putzfrauen,Putzfrau,Putzfrauen,Putzfrau,Putzfrauen,Putzfrau,Putzfrauen,"Cleaning corridor.jpg|200px|1|''Putzfrau''","","","",""
9131,377,Heldin,f,Heldin,Heldinnen,Heldin,Heldinnen,Heldin,Heldinnen,Heldin,Heldinnen,"","","","",""
9132,376,Streifenwagen,m,Streifenwagen,Streifenwagen,Streifenwagens,Streifenwagen,Streifenwagen,Streifenwagen,Streifenwagen,Streifenwagen,"Muenster Polizeiwagen 5982.jpg|220px|1|''Streifenwagen'' der deutschen Polizei","","","",""
9134,376,Witzbold,m,Witzbold,Witzbolde,Witzbolds,Witzbolde,Witzbold,Witzbolden,Witzbold,Witzbolde,"","","","",""
9141,376,Parfum,n,Parfum,Parfums,Parfums,Parfums,Parfum,Parfums,Parfum,Parfums,"","","","",""
9143,375,Sauce,f,Sauce,Saucen,Sauce,Saucen,Sauce,Saucen,Sauce,Saucen,"","","","",""
9145,375,Schmerzmittel,n,Schmerzmittel,Schmerzmittel,Schmerzmittels,Schmerzmittel,Schmerzmittel,Schmerzmitteln,Schmerzmittel,Schmerzmittel,"","","","",""
9148,375,Zeugnis,n,Zeugnis,Zeugnisse,Zeugnisses,Zeugnisse,Zeugnis,Zeugnissen,Zeugnis,Zeugnisse,Zeugnis.jpg|mini|2|Schulzeugnis,"","","",""
9165,374,Verwaltung,f,Verwaltung,Verwaltungen,Verwaltung,Verwaltungen,Verwaltung,Verwaltungen,Verwaltung,Verwaltungen,"","","","",""
9166,374,Tagesanbruch,m,Tagesanbruch,"Tagesanbrüche",Tagesanbruches,"Tagesanbrüche",Tagesanbruch,"Tagesanbrüchen",Tagesanbruch,"Tagesanbrüche","","","","",""
9168,374,"Empfänger",m,"Empfänger","Empfänger","Empfängers","Empfänger","Empfänger","Empfängern","Empfänger","Empfänger","BlaupunktRadio1954.jpg|220px|2|Ein ''Empfänger'' für Radiosendungen aus der Mitte des 20. Jahrhunderts","","","",""
9170,373,Camelot,m,Camelot,Camelots,Camelots,Camelots,Camelot,Camelots,Camelot,Camelots,"","","","",""
9172,373,Lift,m,Lift,Lifte,Lifts,Lifte,Lift,Liften,Lift,Lifte,"","Elevator_descends_to_ground_level.ogg|mini|1|Videoclip eines hinabfahrenden ''Lifts''","Ski_lift_on_Jahorina.jpg|mini|2|''Lift'' in einem bosnisch-herzegowinischen Skigebiet","",""
9172,373,Lift,mn,Lift,Lifts,"",Lifts,Lift,Lifts,Lift,Lifts,"","Oakland,_California._Hitch-hiking._Thumbing_is_used_as_a_means_of_transportation_within_city_limits._Although_within..._-_NARA_-_532092.tif|mini|1|zwei Jugendliche suchen einen ''Lift''","Mammoplasty_morozov.jpg|mini|2|''Lift'' des Busens","",""
9175,373,Juwel,mn,Juwel,Juwelen,"",Juwelen,Juwel,Juwelen,Juwel,Juwelen,"Johannes flintoe crown for norwegian prince 1846.jpg|mini|1|Mit ''Juwelen'' besetzte Krone","","","",""
9175,373,Juwel,n,Juwel,Juwelen,Juwels,Juwelen,Juwel,Juwelen,Juwel,Juwelen,"","","","",""
9176,373,Leichenschauhaus,n,Leichenschauhaus,"Leichenschauhäuser",Leichenschauhauses,"Leichenschauhäuser",Leichenschauhaus,"Leichenschauhäusern",Leichenschauhaus,"Leichenschauhäuser","","","","",""
9186,372,Pumpe,f,Pumpe,Pumpen,Pumpe,Pumpen,Pumpe,Pumpen,Pumpe,Pumpen,"L-Pumpe2.png|mini|1|eine ''Pumpe''","","","",""
9187,372,Blutgruppe,f,Blutgruppe,Blutgruppen,Blutgruppe,Blutgruppen,Blutgruppe,Blutgruppen,Blutgruppe,Blutgruppen,"","","","",""
9188,372,Lot,n,Lot,Lote,Lotes,Lote,Lot,Loten,Lot,Lote,"","","","",""
9188,372,Lot,n,Lot,Lots,Lot,Lots,Lot,Lots,Lot,Lots,"","","","",""
9188,372,Lot,m,Lot,"",Lots,"",Lot,"",Lot,"","","","","",""
9190,372,Lehne,f,Lehne,Lehnen,Lehne,Lehnen,Lehne,Lehnen,Lehne,Lehnen,"","","","",""
9192,372,Diamant,m,Diamant,Diamanten,Diamanten,Diamanten,Diamanten,Diamanten,Diamanten,Diamanten,"","Brillanten.jpg|mini|1|verschiedene ''Diamanten''","Billardtisch.jpg|mini|2|Gut zu erkennen sind die weißen ''Diamanten'' auf den Banden.","Cartridge-stylus-mmc2.jpg|mini|3|Tonabnehmer, in dem ein ''Diamant'' verbaut wurde",""
9192,372,Diamant,f,Diamant,"",Diamant,"",Diamant,"",Diamant,"","","","","",""
9196,372,Orangensaft,m,Orangensaft,"Orangensäfte",Orangensaftes,"Orangensäfte",Orangensaft,"Orangensäften",Orangensaft,"Orangensäfte","Oranges and orange juice.jpg|125px|1|Ein Glas Orangensaft","","","",""
9201,371,Blank,mn,Blank,Blanks,"",Blanks,Blank,Blanks,Blank,Blanks,"","","","",""
9202,371,Spind,m,Spind,Spinde,Spinds,Spinde,Spind,Spinden,Spind,Spinde,Sclocker.JPG|200px|1|Spinde,"","","",""
9205,371,Sprit,m,Sprit,Sprite,Sprits,Sprite,Sprit,Spriten,Sprit,Sprite,"","","","",""
9208,371,"Aufklärung",f,"Aufklärung","Aufklärungen","Aufklärung","Aufklärungen","Aufklärung","Aufklärungen","Aufklärung","Aufklärungen","","","","",""
9218,370,Sowjetunion,f,Sowjetunion,"",Sowjetunion,"",Sowjetunion,"",Sowjetunion,"","LocationSovietUnion.png|thumb|1|Staatsgebiet der ''Sowjetunion''","","","",""
9219,370,Schiedsrichter,m,Schiedsrichter,Schiedsrichter,Schiedsrichters,Schiedsrichter,Schiedsrichter,Schiedsrichtern,Schiedsrichter,Schiedsrichter,"Verwarnung im Fussball-RB Salzburg-18-09-2005.jpg|mini|1|ein ''Schiedsrichter'' im Fußball, der einen Spieler verwarnt","","","",""
9222,370,Kessel,m,Kessel,Kessel,Kessels,Kessel,Kessel,Kesseln,Kessel,Kessel,"Brewery Hoepfner.-.Brew kettle.jpg|mini|2|Brauerei''kessel''","","","",""
9226,370,Beschluss,m,Beschluss,"Beschlüsse",Beschlusses,"Beschlüsse",Beschluss,"Beschlüssen",Beschluss,"Beschlüsse","","","","",""
9229,369,"Vermächtnis",n,"Vermächtnis","Vermächtnisse","Vermächtnisses","Vermächtnisse","Vermächtnis","Vermächtnissen","Vermächtnis","Vermächtnisse","","","","",""
9236,369,Putz,m,Putz,Putze,Putzes,Putze,Putz,Putzen,Putz,Putze,"","","","",""
9237,369,Appartement,n,Appartement,Appartements,Appartements,Appartements,Appartement,Appartements,Appartement,Appartements,"Sihui apartment.JPG|mini|1|Blick in ein ''Appartement''","","","",""
9239,369,Dialog,m,Dialog,Dialoge,Dialogs,Dialoge,Dialog,Dialogen,Dialog,Dialoge,"","","","",""
9240,369,Drive,m,Drive,Drives,Drives,Drives,Drive,Drives,Drive,Drives,"Golf drive.jpg|220px|1|ein Drive vom [[Tee#Substantiv, n|Tee]]","","","",""
9241,369,Haarschnitt,m,Haarschnitt,Haarschnitte,Haarschnittes,Haarschnitte,Haarschnitt,Haarschnitten,Haarschnitt,Haarschnitte,"Traditional_Japanese_wedding_hairstyle.jpg|thumb|1|Traditioneller ''Haarschnitt'' einer japanischen Braut","","","",""
9245,369,Marionette,f,Marionette,Marionetten,Marionette,Marionetten,Marionette,Marionetten,Marionette,Marionetten,"Mexicano marioneta lou.jpg|mini|1|eine ''Marionette''","","","",""
9255,368,Gesindel,n,Gesindel,"",Gesindels,"",Gesindel,"",Gesindel,"","","","","",""
9259,368,Stellvertreter,m,Stellvertreter,Stellvertreter,Stellvertreters,Stellvertreter,Stellvertreter,Stellvertretern,Stellvertreter,Stellvertreter,"","","","",""
9260,368,Sehne,f,Sehne,Sehnen,Sehne,Sehnen,Sehne,Sehnen,Sehne,Sehnen,"","","","",""
9268,367,Zeh,m,Zeh,Zehen,Zehs,Zehen,Zeh,Zehen,Zeh,Zehen,"Füße mit Zehen.JPG|250px|1|Zehen","","","",""
9270,367,Strahl,m,Strahl,Strahlen,Strahles,Strahlen,Strahl,Strahlen,Strahl,Strahlen,"","Crepuscular rays in ggp 2.jpg|thumb|2|''Strahlen'' der Sonne","Bundesarchiv Bild 102-10699, Berlin, Feuerlöschboot im Westhafen.jpg|thumb|3|mehrere ''Strahlen'' Wasser","Gesunde Strahlform.jpg|thumb|4|''Strahl'' im Huf",""
9273,367,Off,n,Off,"",Off,"",Off,"",Off,"","","","","",""
9276,367,Ausschuss,m,Ausschuss,"Ausschüsse",Ausschusses,"Ausschüsse",Ausschuss,"Ausschüssen",Ausschuss,"Ausschüsse","","","","",""
9277,367,Abtreibung,f,Abtreibung,Abtreibungen,Abtreibung,Abtreibungen,Abtreibung,Abtreibungen,Abtreibung,Abtreibungen,"","","","",""
9278,367,Ketchup,mn,Ketchup,Ketchups,"",Ketchups,Ketchup,Ketchups,Ketchup,Ketchups,"Flickr - cyclonebill - Hotdog.jpg|mini|1|Ein Hot-Dog mit reichlich ''Ketchup''","","","",""
9279,367,Beschuss,m,Beschuss,"",Beschusses,"",Beschuss,"",Beschuss,"","","","","",""
9280,367,Missbrauch,m,Missbrauch,"Missbräuche",Missbrauchs,"Missbräuche",Missbrauch,"Missbräuchen",Missbrauch,"Missbräuche","","","","",""
9281,367,Simulation,f,Simulation,Simulationen,Simulation,Simulationen,Simulation,Simulationen,Simulation,Simulationen,"","","","",""
9287,366,Alarmanlage,f,Alarmanlage,Alarmanlagen,Alarmanlage,Alarmanlagen,Alarmanlage,Alarmanlagen,Alarmanlage,Alarmanlagen,"","","","",""
9288,366,Planung,f,Planung,Planungen,Planung,Planungen,Planung,Planungen,Planung,Planungen,"","","","",""
9291,366,Ehering,m,Ehering,Eheringe,Eherings,Eheringe,Ehering,Eheringen,Ehering,Eheringe,"Wedding rings.jpg|250px|1|zwei ''Eheringe''","","","",""
9294,366,Notwendigkeit,f,Notwendigkeit,Notwendigkeiten,Notwendigkeit,Notwendigkeiten,Notwendigkeit,Notwendigkeiten,Notwendigkeit,Notwendigkeiten,"","","","",""
9295,366,Systems,f,Systems,"",Systems,"",Systems,"",Systems,"","","","","",""
9299,366,Idiotin,f,Idiotin,Idiotinnen,Idiotin,Idiotinnen,Idiotin,Idiotinnen,Idiotin,Idiotinnen,"","","","",""
9301,366,Handwerk,n,Handwerk,Handwerke,Handwerkes,Handwerke,Handwerk,Handwerken,Handwerk,Handwerke,Beutler-1568.png|200px|1|Handwerker,"","","",""
9305,366,Hupe,f,Hupe,Hupen,Hupe,Hupen,Hupe,Hupen,Hupe,Hupen,"Minimax pneumatische-Hupe Makrofon-spezial.jpg|mini|1|eine ''Hupe''","","","",""
